Position,Time_Frozen_hrs,Temp,Culmulative_Freeze_Number,Number,Length_mm,Collection_Date,Date_of_Last_Freeze,Acclimation_time_days,Survival,Death_Time,Total.freeze.time
Low,2,-8,1,E,34,Nov_14,Nov_19,5,1,,2
Low,2,-8,1,F,26.5,Nov_14,Nov_19,5,1,,2
Low,2,-8,1,G,27,Nov_14,Nov_19,5,1,,2
Low,2,-8,1,H,29,Nov_14,Nov_19,5,1,,2
Low,2,-8,1,I,31,Nov_14,Nov_19,5,1,,2
Low,2,-8,1,J,27.5,Nov_14,Nov_19,5,1,,2
Low,2,-8,1,K,25,Nov_14,Nov_19,5,1,,2
Low,2,-8,1,L,34,Nov_14,Nov_19,5,1,,2
High,2,-8,4,1,30,Nov_14,Nov_20,3,1,,8
High,2,-8,3,2,26,Nov_14,Nov_19,3,1,,6
High,2,-8,3,3,27,Nov_14,Nov_19,3,1,,6
High,2,-8,3,4,24,Nov_14,Nov_19,3,1,,6
High,2,-8,3,5,31,Nov_14,Nov_19,3,1,,6
High,2,-8,4,6,27,Nov_14,Nov_20,3,1,,8
High,2,-8,4,7,25,Nov_14,Nov_20,3,1,,8
High,2,-8,3,8,28,Nov_14,Nov_19,3,1,,6
High,2,-8,4,9,28,Nov_14,Nov_20,3,1,,8
High,2,-8,3,10,29,Nov_14,Nov_19,3,1,,6
High,2,-8,4,11,27,Nov_14,Nov_20,3,1,,8
High,2,-8,4,12,28,Nov_14,Nov_20,3,1,,8
High,2,-8,3,21,28,Nov_14,Nov_19,3,1,,6
High,2,-8,4,22,25,Nov_14,Nov_20,3,1,,8
High,2,-8,3,23,25,Nov_14,Nov_19,3,1,,6
High,2,-8,3,24,40,Nov_14,Nov_19,3,1,,6
High,2,-8,4,25,28,Nov_14,Nov_20,3,1,,8
High,2,-8,4,26,28,Nov_14,Nov_20,3,1,,8
High,2,-8,3,27,25,Nov_14,Nov_19,3,1,,6
High,2,-8,3,28,28,Nov_14,Nov_19,3,1,,6
High,2,-8,4,29,22,Nov_14,Nov_20,3,1,,8
High,2,-8,4,30,24,Nov_14,Nov_20,3,1,,8
High,2,-8,4,31,32,Nov_14,Nov_20,3,1,,8
High,2,-8,3,32,26,Nov_14,Nov_19,3,0,Nov_24,6
High,2,-8,2,A,30.5,Nov_14,Nov_20,5,1,,4
High,2,-8,2,B,34,Nov_14,Nov_20,5,1,,4
High,2,-8,2,C,30,Nov_14,Nov_20,5,1,,4
High,2,-8,2,D,36.5,Nov_14,Nov_20,5,1,,4
High,2,-8,2,E,30.5,Nov_14,Nov_20,5,1,,4
High,2,-8,2,F,32,Nov_14,Nov_20,5,1,,4
High,2,-8,2,G,28,Nov_14,Nov_20,5,1,,4
High,2,-8,2,H,34,Nov_14,Nov_20,5,1,,4
High,2,-8,2,I,31,Nov_14,Nov_20,5,1,,4
High,2,-8,2,J,39,Nov_14,Nov_20,5,1,,4
High,2,-8,2,K,28,Nov_14,Nov_20,5,1,,4
High,2,-8,2,L,33.5,Nov_14,Nov_20,5,1,,4
High,2,-8,1,A,30,Nov_14,Nov_19,5,1,,2
High,2,-8,1,B,37,Nov_14,Nov_19,5,1,,2
High,2,-8,1,C,34,Nov_14,Nov_19,5,1,,2
High,2,-8,1,D,38,Nov_14,Nov_19,5,1,,2
High,2,-8,1,E,28,Nov_14,Nov_19,5,1,,2
High,2,-8,1,F,30,Nov_14,Nov_19,5,1,,2
High,2,-8,1,G,32,Nov_14,Nov_19,5,1,,2
High,2,-8,1,H,30,Nov_14,Nov_19,5,1,,2
High,2,-8,1,I,27,Nov_14,Nov_19,5,1,,2
High,2,-8,1,J,27,Nov_14,Nov_19,5,1,,2
High,2,-8,1,K,31,Nov_14,Nov_19,5,1,,2
High,2,-8,1,L,33,Nov_14,Nov_19,5,1,,2
High,8,-8,1,1,26,Nov_14,Nov_21,3,0,,8
High,8,-8,1,2,25,Nov_14,Nov_21,3,0,,8
High,8,-8,1,3,30,Nov_14,Nov_22,3,0,,8
High,8,-8,1,4,25,Nov_14,Nov_22,3,0,,8
High,8,-8,1,5,30,Nov_14,Nov_18,3,0,,8
High,8,-8,1,6,30,Nov_14,,3,1,,8
High,8,-8,1,7,30,Nov_14,Nov_18,3,0,,8
High,8,-8,1,8,28,Nov_14,Nov_18,3,0,,8
High,8,-8,1,9,30,Nov_14,Nov_18,3,0,,8
High,8,-8,1,10,30,Nov_14,Nov_18,3,0,,8
High,8,-8,1,11,28,Nov_14,Nov_20,3,0,,8
High,8,-8,1,12,30,Nov_14,Nov_22,3,0,,8
Low,8,-8,1,13,26,Nov_14,,3,1,,8
Low,8,-8,1,14,35,Nov_14,Nov_20,3,0,,8
Low,8,-8,1,15,30,Nov_14,Nov_23,3,0,,8
Low,8,-8,1,16,30,Nov_14,,3,1,,8
Low,8,-8,1,17,33,Nov_14,Nov_18,3,0,,8
Low,8,-8,1,18,33,Nov_14,Nov_20,3,0,,8
Low,8,-8,1,19,30,Nov_14,,3,1,,8
Low,8,-8,1,20,31,Nov_14,Nov_18,3,0,,8
Low,8,-8,1,21,33,Nov_14,Nov_18,3,0,,8
Low,8,-8,1,22,30,Nov_14,Nov_18,3,0,,8
Low,8,-8,1,23,30,Nov_14,Nov_18,3,0,,8
Low,8,-8,1,24,30,Nov_14,,3,1,,8
High,4,-8,2,1,32,Nov_16,Nov_18,2,0,,8
High,4,-8,2,2,26,Nov_16,Nov_21,2,0,,8
High,4,-8,2,3,25,Nov_16,Nov_25,2,0,,8
High,4,-8,2,4,25,Nov_16,Nov_18,2,0,,8
High,4,-8,2,5,28,Nov_16,,2,1,,8
High,4,-8,2,6,26,Nov_16,Nov_22,2,0,,8
High,4,-8,2,7,31,Nov_16,,2,1,,8
High,4,-8,2,8,25,Nov_16,Nov_22,2,0,,8
High,4,-8,2,9,27,Nov_16,,2,1,,8
High,4,-8,2,10,27,Nov_16,,2,1,,8
High,4,-8,2,11,28,Nov_16,Nov_22,2,0,,8
High,4,-8,2,12,23,Nov_16,,2,1,,8
High,4,-8,1,13,26,Nov_16,Nov_22,2,0,,4
High,4,-8,1,14,30,Nov_16,Nov_18,2,0,,4
High,4,-8,1,15,24,Nov_16,,2,1,,4
High,4,-8,1,16,29,Nov_16,,2,1,,4
High,4,-8,1,17,23,Nov_16,Nov_22,2,0,,4
High,4,-8,1,18,25,Nov_16,,2,1,,4
High,4,-8,1,19,21,Nov_16,,2,1,,4
High,4,-8,1,20,26,Nov_16,,2,1,,4
High,4,-8,1,21,26,Nov_16,,2,1,,4
High,4,-8,1,22,25,Nov_16,,2,1,,4
High,4,-8,1,23,25,Nov_16,,2,1,,4
High,4,-8,1,24,31,Nov_16,,2,1,,4
Low,4,-8,2,1,30,Nov_16,,2,1,,8
Low,4,-8,2,2,28,Nov_16,,2,1,,8
Low,4,-8,2,3,25,Nov_16,,2,1,,8
Low,4,-8,2,4,30,Nov_16,,2,1,,8
Low,4,-8,2,5,26,Nov_16,,2,1,,8
Low,4,-8,2,6,24,Nov_16,,2,1,,8
Low,4,-8,2,7,26,Nov_16,,2,1,,8
Low,4,-8,2,8,26,Nov_16,,2,1,,8
Low,4,-8,2,9,32,Nov_16,,2,1,,8
Low,4,-8,2,10,31,Nov_16,Nov_24,2,0,,8
Low,4,-8,2,11,22,Nov_16,Nov_22,2,0,,8
Low,4,-8,2,12,26,Nov_16,,2,1,,8
Low,4,-8,1,13,25,Nov_16,,2,1,,4
Low,4,-8,1,14,26,Nov_16,,2,1,,4
Low,4,-8,1,15,30,Nov_16,,2,1,,4
Low,4,-8,1,16,25,Nov_16,,2,1,,4
Low,4,-8,1,17,25,Nov_16,,2,1,,4
Low,4,-8,1,18,30,Nov_16,,2,1,,4
Low,4,-8,1,19,23,Nov_16,,2,1,,4
Low,4,-8,1,20,25,Nov_16,,2,1,,4
Low,4,-8,1,21,27,Nov_16,,2,1,,4
Low,4,-8,1,22,28,Nov_16,,2,1,,4
Low,4,-8,1,23,22,Nov_16,,2,1,,4
Low,4,-8,1,24,26,Nov_16,,2,1,,4
