treatment,position,freeze.time,cumulative.freeze.number,total.time.between.freezes,recovery,total.time.before.dissection.hrs,sam.num,rel.dens
E,H,2,4,72,20,100,4,0.85481311
E,H,2,4,72,20,100,3,0.211173716
E,H,2,4,72,20,100,7,0.742462569
E,H,2,4,72,20,100,9,0.630005843
E,H,2,4,72,20,100,3,0.309347571
E,H,2,4,72,20,100,3,0.42061641
E,H,2,4,72,20,100,4,0.224707399
E,H,2,4,72,20,100,7,0.320353437
E,H,2,4,72,20,100,7,0.447866629
E,H,2,4,72,20,100,9,0.555287603
E,H,2,4,72,20,100,9,0.666320109
E,H,2,4,72,20,,6,0.569090643
E,H,2,4,72,20,,6,0.593370891
E,H,2,4,72,20,,6,0.253032869
C,L,2,4,72,20,100,1,0.1729548
C,L,2,4,72,20,100,3,0.117475111
C,L,2,4,72,20,100,4,0.511474585
C,L,2,4,72,20,100,7,0.618031779
C,L,2,4,72,20,100,1,0.055292642
C,L,2,4,72,20,100,1,0.086297376
C,L,2,4,72,20,100,3,0.202935925
C,L,2,4,72,20,100,4,0.097297853
C,L,2,4,72,20,100,4,0.211246115
C,L,2,4,72,20,100,7,0.201679171
C,L,2,4,72,20,100,7,0.188399453
E,L,2,4,72,20,100,1,0.405636492
E,L,2,4,72,20,100,2,0.215971193
E,L,2,4,72,20,100,4,0.745546049
E,L,2,4,72,20,100,6,0.757747344
E,L,2,4,72,20,100,1,0.281721474
E,L,2,4,72,20,100,1,0.30970429
E,L,2,4,72,20,100,2,0.208341599
E,L,2,4,72,20,100,4,0.736155348
E,L,2,4,72,20,100,4,0.851370444
E,L,2,4,72,20,100,6,0.696470588
E,L,2,4,72,20,,5,0.344016365
E,L,2,4,72,20,,5,0.421525594
E,L,2,4,72,20,,5,0.224795217
C,H,8,1,0,20,28,1,0.13265156
C,H,8,1,0,20,28,2,0.226728037
C,H,8,1,0,20,28,5,0.71265468
C,H,8,1,0,20,28,7,0.596745921
C,H,8,1,0,20,28,1,0.089835376
C,H,8,1,0,20,28,1,0.130612245
C,H,8,1,0,20,28,2,0.194108312
C,H,8,1,0,20,28,5,0.713449091
C,H,8,1,0,20,28,5,0.750437977
E,H,8,1,0,20,28,1,0.317208652
E,H,8,1,0,20,28,2,0.093444965
E,H,8,1,0,20,28,7,0.792917208
E,H,8,1,0,20,28,12,0.45305407
E,H,8,1,0,20,28,1,0.39889981
E,H,8,1,0,20,28,1,0.44302374
E,H,8,1,0,20,28,2,0.083217616
E,H,8,1,0,20,28,7,0.937429364
E,H,8,1,0,20,28,7,0.878214185
E,H,8,1,0,20,28,12,0.493658449
E,H,8,1,0,20,28,12,0.617893297
E,H,8,1,0,20,,11,0.170473917
E,H,8,1,0,20,,11,0.451512347
E,H,8,1,0,20,,11,0.162859019
C,L,8,1,0,20,28,3,0.299470451
C,L,8,1,0,20,28,5,0.633920483
C,L,8,1,0,20,28,7,0.623562462
C,L,8,1,0,20,28,2,0.156493953
C,L,8,1,0,20,28,2,0.230487297
C,L,8,1,0,20,28,3,0.117387423
C,L,8,1,0,20,28,5,0.708620158
C,L,8,1,0,20,28,5,0.720881605
C,L,8,1,0,20,28,7,0.261745266
C,L,8,1,0,20,28,7,0.187031464
E,L,8,1,0,20,28,1,0.135101482
E,L,8,1,0,20,28,2,0.134081762
E,L,8,1,0,20,28,7,0.523502768
E,L,8,1,0,20,28,12,0.931261522
E,L,8,1,0,20,28,1,0.102616996
E,L,8,1,0,20,28,1,0.175801749
E,L,8,1,0,20,28,2,0.322455862
E,L,8,1,0,20,28,7,0.644611117
E,L,8,1,0,20,28,7,0.44357163
E,L,8,1,0,20,28,12,0.50598428
E,L,8,1,0,20,28,12,0.690177839
E,L,8,1,0,20,,11,0.326092251
E,L,8,1,0,20,,11,0.607763869
E,L,8,1,0,20,,11,0.259910828
